frame,mode,x,y,width,height
1,point,633,414,0,0
2,point,632,405,0,0
3,point,632,405,0,0
4,point,632,405,0,0
5,point,632,405,0,0
6,point,632,405,0,0
7,point,632,405,0,0
8,point,613,405,0,0
9,point,605,393,0,0
10,point,605,393,0,0
11,point,605,393,0,0
12,point,605,393,0,0
13,point,605,393,0,0
14,point,605,393,0,0
15,point,576,367,0,0
16,point,586,367,0,0
17,point,586,367,0,0
18,point,582,377,0,0
19,point,582,377,0,0
20,point,582,377,0,0
21,point,582,377,0,0
22,point,582,377,0,0
23,point,564,375,0,0
24,point,564,375,0,0
25,point,553,375,0,0
26,point,553,375,0,0
27,point,536,386,0,0
28,point,536,386,0,0
29,point,536,388,0,0
30,point,536,388,0,0
31,point,536,388,0,0
32,point,529,398,0,0
33,point,529,398,0,0
34,point,529,398,0,0
35,point,529,400,0,0
36,point,529,417,0,0
37,point,529,417,0,0
38,point,510,399,0,0
39,point,510,399,0,0
40,point,510,399,0,0
41,point,510,399,0,0
42,point,512,373,0,0
43,point,512,373,0,0
44,point,512,373,0,0
45,point,512,373,0,0
46,point,512,373,0,0
47,point,512,373,0,0
48,point,512,370,0,0
49,point,512,370,0,0
50,point,512,370,0,0
51,point,508,355,0,0
52,point,507,369,0,0
53,point,507,369,0,0
54,point,514,369,0,0
55,point,514,373,0,0
56,point,514,373,0,0
57,point,514,385,0,0
58,point,514,385,0,0
59,point,514,385,0,0
60,point,514,385,0,0
61,point,514,385,0,0
62,point,514,385,0,0
63,point,514,403,0,0
64,point,514,406,0,0
65,point,514,406,0,0
66,point,514,406,0,0
67,point,514,406,0,0
68,point,514,406,0,0
69,point,514,406,0,0
70,point,514,406,0,0
71,point,514,406,0,0
72,point,514,386,0,0
73,point,514,386,0,0
74,point,514,377,0,0
75,point,514,365,0,0
76,point,513,351,0,0
77,point,513,351,0,0
78,point,513,351,0,0
79,point,516,368,0,0
80,point,516,368,0,0
81,point,516,368,0,0
82,point,516,368,0,0
83,point,516,368,0,0
84,point,516,368,0,0
85,point,516,368,0,0
86,point,516,370,0,0
87,point,516,382,0,0
88,point,516,388,0,0
89,point,516,404,0,0
90,point,516,398,0,0
91,point,519,404,0,0
92,point,519,404,0,0
93,point,519,404,0,0
94,point,519,404,0,0
95,point,519,408,0,0
96,point,519,413,0,0
97,point,525,426,0,0
98,point,525,426,0,0
99,point,525,426,0,0
100,point,525,426,0,0
101,point,525,426,0,0
102,point,525,426,0,0
103,point,544,426,0,0
104,point,544,426,0,0
105,point,539,408,0,0
106,point,539,408,0,0
107,point,551,381,0,0
108,point,551,381,0,0
