frame,mode,x,y,width,height
0,bbox,592,339,90,104
1,bbox,617,349,62,96
2,bbox,611,348,65,89
3,bbox,611,348,72,94
4,bbox,615,351,65,93
5,bbox,609,356,68,96
6,bbox,604,364,70,86
7,bbox,596,370,68,88
8,bbox,586,359,87,104
9,bbox,580,349,90,106
10,bbox,579,343,82,98
11,bbox,568,338,90,94
12,bbox,564,341,85,86
13,bbox,553,331,89,94
14,bbox,546,326,88,98
15,bbox,539,331,91,94
16,bbox,530,333,89,95
17,bbox,531,339,84,92
18,bbox,514,341,94,103
19,bbox,505,354,92,96
20,bbox,501,352,93,111
21,bbox,494,364,103,105
22,bbox,492,361,104,111
23,bbox,487,362,107,108
24,bbox,482,350,115,117
25,bbox,481,343,115,116
26,bbox,480,338,110,94
27,bbox,472,325,122,107
28,bbox,477,326,114,98
29,bbox,471,318,122,103
30,bbox,474,311,112,108
31,bbox,475,316,110,100
32,bbox,477,317,103,103
33,bbox,480,329,100,98
34,bbox,477,336,109,104
35,bbox,482,344,103,110
36,bbox,476,347,113,115
37,bbox,475,357,107,110
38,bbox,484,368,113,107
39,bbox,490,367,102,103
40,bbox,483,354,121,126
41,bbox,482,338,105,113
42,bbox,489,339,120,110
43,bbox,481,320,103,96
44,bbox,489,323,92,71
45,bbox,490,329,72,61
46,bbox,492,343,57,38
47,bbox,495,340,79,63
48,bbox,504,352,81,63
49,bbox,490,355,54,43
50,bbox,520,381,72,34
51,bbox,479,360,50,43
52,bbox,502,381,68,42
53,bbox,463,363,130,91
54,bbox,526,420,99,48
55,bbox,532,411,41,27
56,bbox,507,398,53,17
57,bbox,509,376,63,48
58,bbox,515,357,55,56
59,bbox,544,380,71,20
60,bbox,544,360,58,54
61,bbox,548,356,80,33
62,bbox,530,353,88,45
63,bbox,564,367,89,56
64,bbox,538,343,70,63
65,bbox,551,357,78,51
66,bbox,535,357,47,38
67,bbox,546,360,89,68
68,bbox,557,375,64,58
70,bbox,570,399,68,49
71,bbox,578,403,145,97
72,bbox,561,386,95,45
73,bbox,566,389,78,26
74,bbox,580,329,94,73
75,bbox,559,327,154,88
76,bbox,581,327,86,47
77,bbox,583,311,123,112
